-0.995278600,-0.995112080,-0.934723780,-0.999944650,-0.950551500,-0.957992950,-0.950551500,-0.957992950,-0.992933700,-0.995421750,-0.993756340,-0.999962790,-0.999968670,-0.999971150,-0.956133970,-0.948870140,-0.998285200
-0.998245280,-0.998807190,-0.943067510,-0.999991300,-0.976057070,-0.978247250,-0.976057070,-0.978247250,-0.993485080,-0.998680260,-0.999371730,-0.999996190,-0.999993940,-0.999992130,-0.975865760,-0.975776880,-0.999471940
-0.995379560,-0.996519940,-0.938691550,-0.999969080,-0.988019620,-0.988326780,-0.988019620,-0.988326780,-0.989983750,-0.996312810,-0.998158490,-0.999989450,-0.999982630,-0.999972490,-0.989015480,-0.985593560,-0.999806730
-0.996091490,-0.997099470,-0.938691550,-0.999975540,-0.986421350,-0.986430530,-0.986421350,-0.986430530,-0.991736080,-0.996312110,-0.997403520,-0.999988600,-0.999986390,-0.999977330,-0.986741960,-0.983523670,-0.999770210
-0.998138620,-0.998321130,-0.942469120,-0.999990610,-0.991275360,-0.991170300,-0.991275360,-0.991170300,-0.996846310,-0.998606470,-0.999277430,-0.999994010,-0.999993450,-0.999991100,-0.990063460,-0.992324130,-0.999873100
-0.997334960,-0.997627400,-0.942469120,-0.999985470,-0.995248970,-0.995009440,-0.995248970,-0.995009440,-0.995022330,-0.997643800,-0.998597930,-0.999990340,-0.999989660,-0.999986540,-0.995283300,-0.993851160,-0.999939040
-0.996921040,-0.997002680,-0.940986630,-0.999981820,-0.982746030,-0.986755580,-0.982746030,-0.986755580,-0.993346250,-0.997461250,-0.996957380,-0.999991070,-0.999987510,-0.999984300,-0.984772950,-0.982490040,-0.999676480
-0.996559260,-0.996485250,-0.940986630,-0.999979780,-0.975996740,-0.976503610,-0.975996740,-0.976503610,-0.992462640,-0.997279330,-0.998346950,-0.999985270,-0.999981430,-0.999979950,-0.975119500,-0.976829120,-0.999469930
-0.997328470,-0.997595760,-0.940597580,-0.999985440,-0.977513730,-0.978971190,-0.977513730,-0.978971190,-0.996536850,-0.997367590,-0.997173660,-0.999985350,-0.999985710,-0.999985570,-0.976682900,-0.979264010,-0.999520320
-0.994803440,-0.995404620,-0.940027510,-0.999962820,-0.986702430,-0.988378270,-0.986702430,-0.988378270,-0.988816520,-0.995388450,-0.996913430,-0.999982940,-0.999970600,-0.999968670,-0.989023130,-0.987825480,-0.999776820
-0.994815110,-0.995509270,-0.940027510,-0.999964660,-0.985901710,-0.987539950,-0.985901710,-0.987539950,-0.991035480,-0.995810750,-0.996465740,-0.999978800,-0.999971080,-0.999970250,-0.987188710,-0.986764840,-0.999757790
